REF,RESTRICTION,SITE_NAME,SUMMARY,AUTHORITY,DATE_FROM,DATE_TO,LEG_NAME,LEG_DATE,LEG_LINK,MORE_INFO,UPDATED
2029,1,"Area C - South District","A person must not use a pot from a vessel exceeding 10 meters overall length within the 0-3nm (Area B). A person must not use a pot unless the pot has at least one unobstructed escape gap (per chamber) in its exterior wall. A person must not use any pot with a size exceeding 50cm high x 60cm wide x 110cm long. ","North Eastern IFCA",,,"Byelaw XXVIII: Crustacea Conservation Byelaw 2018",2018-07-14,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
2055,1,"Area C (0-3nm)","No person shall in fishing for seafish use any kind of trawl net except in connection with a vessel whose overall length does not exceed 15.24 metres.","Kent & Essex IFCA",,,"Area C Byelaws",2010-04-01,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-c,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2056,1,"Area D","Any person who uses in fishing for sea fish any net or any other instrument except that used: i) from the beach; or ii) from the bank; or iii) from a boat, whose overall length does not exceed 17 metres and whose total engine power when using trawl nets or other towed fishing instruments does not exceed 221 kilowatts shall be guilty of an offence.
Any person who attaches any net or device for the purposes of fishing for sea fish to: i) the bank, ii) river bed, iii) any anchored or moored boat, shall be guilty of an offence.
Any person who uses a Drag or Seine Net with an overall length measured along the headrope of more than 200 metres, or with a depth of more than 4 metres, shall be guilty of an offence. 
Any person who uses a Gill or Drift Net (or two or more such nets in combination) which exceeds 200 metres in total length shall be guilty of an offence. ","Kent & Essex IFCA",,,"Area D Byelaws",2010-04-01,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-d,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2037,1,"Area D - Flamborough and Filey Coast pSPA","A person must not fish or place fixed nets between 1 March and 30 September. ","North Eastern IFCA","1st March","30th September","Byelaw XVIII: Method and Area of Fishing (Fixed Netting) Byelaw 2016",2016-04-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
1062,1,"Baie Ny Carrickey MNR Eelgrass conservation zone","No person may use static gear, including pots, or towable fishing gear to trawl or dredge. Anchoring by any means is prohibited.","Isle of Man Government","1st January","1st January","Sea Fisheries Regulations 2013",2013-11-01,https://www.gov.im/media/969776/seafisheries_baienycarrickeyclosedarea_regulations2013.pdf,https://www.gov.im/commercialfishing,2021-07-19
1157,1,"Ballantrae Bank","Fishing for sea fish with mobile or active gear prohibited. Period of prohibition of use of mobile or active gear (all dates inclusive): 1st February to 30th April in each year.","Scottish Government (Marine Scotland)","1st February","30th April","SSI 2004 No. 276 (Art 3)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/1/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2169,1,"Ballyquintin scallop enhancement site 2022","Prohibits fishing for sea-fish by demersal mobile gear and diving for scallops in this area.
",DAERA,,,"The Scallop Enhancement Sites (Prohibited Methods of Fishing) Regulations (Northern Ireland) 2022",2023-01-01,https://www.legislation.gov.uk/nisr/2022/272/pdfs/nisr_20220272_en.pdf,,2023-02-17
1200,1,"Barra Head (Berneray) to Harris Protected Area","Fishing for any species of sea fish with a creel or parlour creel is prohibited.","Scottish Government (Marine Scotland)","1st November","31st March","SSI 2017 No. 48 (Art 6)",2017-04-01,http://www.legislation.gov.uk/ssi/2017/48/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1087,1,"Belfast Lough East","The capture of sea fish by any net is prohibited except from a fishing boat of 12.19 metres in length or less or by a net for the capture of trout, mullet or herring.",DAERA,,,"Inshore Fishing (Prohibition of Fishing & Fishing Methods) Regulations (NI) 1993 [SR 1993 No. 155] as amended",1993-03-31,https://www.legislation.gov.uk/nisr/1993/155/pdfs/nisr_19930155_en.pdf,https://gis.daera-ni.gov.uk/arcgis/apps/webappviewer/index.html?id=e44a8e27333241bfa2faf4a387fd99d7,2021-07-19
1086,1,"Belfast Lough West","The use of any dredge, trawl net or any seine net for the capture of sea fish to the westward of an imaginary straight line is prohibited.",DAERA,,,"Inshore Fishing (Prohibition of Fishing & Fishing Methods) Regulations (NI) 1993 [SR 1993 No. 155] as amended (2008 amendment)",2008-07-11,http://www.legislation.gov.uk/nisr/2008/304/pdfs/nisr_20080304_en.pdf,https://gis.daera-ni.gov.uk/arcgis/apps/webappviewer/index.html?id=e44a8e27333241bfa2faf4a387fd99d7,2021-07-19
1392,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 1","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1400,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 10","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1401,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 11","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1384,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 12","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1387,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 13","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1386,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 14","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1383,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 15","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1385,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 16","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1402,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 17","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1403,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 18","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1389,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 19","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1391,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 2","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1404,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 20","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1405,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 21","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1406,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 22","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1407,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 23","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1408,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 24","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1409,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 25","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1410,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 26","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1411,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 27","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1412,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 28","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1388,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 29","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1394,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 3","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1413,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 30","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1414,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 31","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1415,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 32","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1416,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 33","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1417,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 34","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1418,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 35","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1419,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 36","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1420,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 37","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1421,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 38","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1422,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 39","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1395,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 4","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1390,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 40","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1393,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 5","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1396,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 6","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1397,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 7","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1398,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 8","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
1399,1,"Bottom Towed Fishing Gear Byelaw 2016 - Area 9","A person must not use bottom towed fishing gear within a prohibited area.","Southern IFCA",,,"Bottom Towed Fishing Gear Byelaw 2016",2017-11-17,https://secure.toolkitfiles.co.uk/clients/25364/sitedata/Redesign/Byelaws/Bottom-Towed-Fishing-Gear.pdf,https://www.southern-ifca.gov.uk/all-regulations,2021-09-03
2057,1,"Bottom Towed Fishing Gear Byelaw 2017: East Margate Sands","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2058,1,"Bottom Towed Fishing Gear Byelaw 2017: Essex Estuaries SAC","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2063,1,"Bottom Towed Fishing Gear Byelaw 2017: Folkstone Pomerania MCZ","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2064,1,"Bottom Towed Fishing Gear Byelaw 2017: Knob Channel","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2066,1,"Bottom Towed Fishing Gear Byelaw 2017: Pan Sand Hole","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2067,1,"Bottom Towed Fishing Gear Byelaw 2017: Thanet Coast SAC","A person must not use a bottom trawl fishing gear within the prohibited areas.","Kent & Essex IFCA",,,"Bottom Towed Fishing Gear Byelaw 2017",2017-01-23,https://www.kentandessex-ifca.gov.uk/wp-content/uploads/2018/02/KEIFCA-Bottom-Towed-Gear-Byelaw-2017-SIGNED.pdf,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
